,id,rank1,rank2,rank3,rank4,rank5,decision
0,ABBV,0.0,0.0,0.0,0.0,0.0,0.0
1,ACN,0.0,0.0,0.0,0.0,0.0,0.0
2,AEP,0.0,0.0,0.0,0.0,0.0,0.0
3,AIZ,0.1,0.1,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1
4,ALLE,0.0,0.0,0.0,0.0,0.0,0.0
5,AMAT,0.0,0.0,0.0,0.0,0.0,0.0
6,AMP,0.0,0.0,0.0,0.0,0.0,0.0
7,AMZN,0.0,0.0,0.0,0.0,0.0,0.0
8,AVB,0.0,0.0,0.0,0.0,0.0,0.0
9,AVY,0.0,0.0,0.0,0.0,0.0,0.0
10,AXP,0.0,0.0,0.0,0.0,0.0,0.0
11,BDX,0.0,0.0,0.0,0.0,0.0,0.0
12,BF-B,0.0,0.0,0.0,0.0,0.0,0.0
13,BMY,0.0,0.0,0.0,0.0,0.0,0.0
14,BR,0.0,0.0,0.0,0.0,0.0,0.0
15,CARR,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1,0.1,-0.1
16,CDW,0.1,0.1,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1
17,CE,0.0,0.0,0.0,0.0,0.0,0.0
18,CHTR,0.0,0.0,0.0,0.0,0.0,0.0
19,CNC,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1,0.1,-0.1
20,CNP,0.0,0.0,0.0,0.0,0.0,0.0
21,COP,0.0,0.0,0.0,0.0,0.0,0.0
22,CTAS,0.0,0.0,0.0,0.0,0.0,0.0
23,CZR,0.0,0.0,0.0,0.0,0.0,0.0
24,DG,0.0,0.0,0.0,0.0,0.0,0.0
25,DPZ,0.0,0.0,0.0,0.0,0.0,0.0
26,DRE,0.0,0.0,0.0,0.0,0.0,0.0
27,DXC,0.0,0.0,0.0,0.0,0.0,0.0
28,META,0.0,0.0,0.0,0.0,0.0,0.0
29,FTV,0.0,0.0,0.0,0.0,0.0,0.0
30,GOOG,0.0,0.0,0.0,0.0,0.0,0.0
31,GPC,0.0,0.0,0.0,0.0,0.0,0.0
32,HIG,0.0,0.0,0.0,0.0,0.0,0.0
33,HST,0.0,0.0,0.0,0.0,0.0,0.0
34,JPM,0.0,0.0,0.0,0.0,0.0,0.0
35,KR,0.0,0.0,0.0,0.0,0.0,0.0
36,OGN,0.0,0.0,0.0,0.0,0.0,0.0
37,PG,0.1,0.1,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1
38,PPL,0.0,0.0,0.0,0.0,0.0,0.0
39,PRU,0.0,0.0,0.0,0.0,0.0,0.0
40,PYPL,0.0,0.0,0.0,0.0,0.0,0.0
41,RE,0.1,0.1,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1
42,ROL,0.1,0.1,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1
43,ROST,0.0,0.0,0.0,0.0,0.0,0.0
44,UNH,0.0,0.0,0.0,0.0,0.0,0.0
45,URI,0.0,0.0,0.0,0.0,0.0,0.0
46,V,0.0,0.0,0.0,0.0,0.0,0.0
47,VRSK,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1,0.1,-0.1
48,WRK,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1,0.1,-0.1
49,XOM,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.1,0.1,-0.1
