permno,adate,qdate,public_date,bm,TICKER
12308,2018/12/31,2019/09/30,2020/01/31,0.571,CHTR
12308,2019/12/31,2019/12/31,2020/02/29,0.483,CHTR
12308,2019/12/31,2019/12/31,2020/03/31,0.483,CHTR
12308,2019/12/31,2019/12/31,2020/04/30,0.483,CHTR
12308,2019/12/31,2020/03/31,2020/05/31,0.525,CHTR
12308,2019/12/31,2020/03/31,2020/06/30,0.525,CHTR
12308,2019/12/31,2020/03/31,2020/07/31,0.525,CHTR
12308,2019/12/31,2020/06/30,2020/08/31,0.451,CHTR
12308,2019/12/31,2020/06/30,2020/09/30,0.451,CHTR
12308,2019/12/31,2020/06/30,2020/10/31,0.451,CHTR
12308,2019/12/31,2020/09/30,2020/11/30,0.359,CHTR
12308,2019/12/31,2020/09/30,2020/12/31,0.359,CHTR
12308,2019/12/31,2020/09/30,2021/01/31,0.359,CHTR
12308,2020/12/31,2020/12/31,2021/02/28,0.327,CHTR
12308,2020/12/31,2020/12/31,2021/03/31,0.327,CHTR
12308,2020/12/31,2020/12/31,2021/04/30,0.327,CHTR
12308,2020/12/31,2021/03/31,2021/05/31,0.337,CHTR
12308,2020/12/31,2021/03/31,2021/06/30,0.337,CHTR
12308,2020/12/31,2021/03/31,2021/07/31,0.337,CHTR
12308,2020/12/31,2021/06/30,2021/08/31,0.287,CHTR
12308,2020/12/31,2021/06/30,2021/09/30,0.287,CHTR
12308,2020/12/31,2021/06/30,2021/10/31,0.287,CHTR
12308,2020/12/31,2021/09/30,2021/11/30,0.276,CHTR
12308,2020/12/31,2021/09/30,2021/12/31,0.276,CHTR
13267,2018/12/31,2019/09/30,2020/01/31,0.375,CZR
13267,2019/12/31,2019/12/31,2020/02/29,0.312,CZR
13267,2019/12/31,2019/12/31,2020/03/31,0.312,CZR
13267,2019/12/31,2019/12/31,2020/04/30,0.312,CZR
13267,2019/12/31,2020/03/31,2020/05/31,0.617,CZR
13267,2019/12/31,2020/03/31,2020/06/30,0.617,CZR
13721,2018/12/31,2019/09/30,2020/01/31,,ABBV
13721,2019/12/31,2019/12/31,2020/02/29,,ABBV
13721,2019/12/31,2019/12/31,2020/03/31,,ABBV
13721,2019/12/31,2019/12/31,2020/04/30,,ABBV
13721,2019/12/31,2020/03/31,2020/05/31,,ABBV
13721,2019/12/31,2020/03/31,2020/06/30,,ABBV
13721,2019/12/31,2020/03/31,2020/07/31,,ABBV
13721,2019/12/31,2020/06/30,2020/08/31,0.113,ABBV
13721,2019/12/31,2020/06/30,2020/09/30,0.113,ABBV
13721,2019/12/31,2020/06/30,2020/10/31,0.113,ABBV
13721,2019/12/31,2020/09/30,2020/11/30,0.128,ABBV
13721,2019/12/31,2020/09/30,2020/12/31,0.128,ABBV
13721,2019/12/31,2020/09/30,2021/01/31,0.128,ABBV
13721,2020/12/31,2020/12/31,2021/02/28,0.088,ABBV
